County,County Code,Year,Intent,Deaths,Population,State,Rate
"East Baton Rouge Parish, LA",22033,2009,Homicide,81,437623,LA,18.50908202
"East Baton Rouge Parish, LA",22033,2010,Homicide,80,440171,LA,18.17475481
"East Baton Rouge Parish, LA",22033,2011,Homicide,78,441438,LA,17.66952551
"East Baton Rouge Parish, LA",22033,2012,Homicide,89,444526,LA,20.02132609
"East Baton Rouge Parish, LA",22033,2013,Homicide,74,445227,LA,16.62073504
"East Baton Rouge Parish, LA",22033,2014,Homicide,70,446042,LA,15.69358939
"East Baton Rouge Parish, LA",22033,2015,Homicide,88,446753,LA,19.6976853
"East Baton Rouge Parish, LA",22033,2016,Homicide,78,447037,LA,17.44822017
"East Baton Rouge Parish, LA",22033,2017,Homicide,117,446268,LA,26.21742989
"East Baton Rouge Parish, LA",22033,2018,Homicide,93,440956,LA,21.09053965
"East Baton Rouge Parish, LA",22033,2019,Homicide,106,440059,LA,24.08767915
"Oconee County, SC",45073,2018,Homicide,10,78374,SC,12.75933345
"Petersburg city, VA",51730,2009,Homicide,12,32168,VA,37.3041532
"Petersburg city, VA",51730,2010,Homicide,11,32420,VA,33.92967304
"Petersburg city, VA",51730,2014,Homicide,13,32701,VA,39.75413596
"Petersburg city, VA",51730,2015,Homicide,16,32477,VA,49.26563414
"Petersburg city, VA",51730,2016,Homicide,10,31882,VA,31.36566087
"Petersburg city, VA",51730,2017,Homicide,14,31750,VA,44.09448819
"Petersburg city, VA",51730,2018,Homicide,14,31567,VA,44.35011246
"Petersburg city, VA",51730,2019,Homicide,18,31346,VA,57.42359472
"New Castle County, DE",10003,2009,Homicide,37,536898,DE,6.891439342
"New Castle County, DE",10003,2010,Homicide,47,538479,DE,8.728288383
"New Castle County, DE",10003,2011,Homicide,37,541971,DE,6.826933544
"New Castle County, DE",10003,2012,Homicide,50,546076,DE,9.156234663
"New Castle County, DE",10003,2013,Homicide,40,549684,DE,7.276908187
"New Castle County, DE",10003,2014,Homicide,42,552778,DE,7.597986895
"New Castle County, DE",10003,2015,Homicide,51,556779,DE,9.159828226
"New Castle County, DE",10003,2016,Homicide,45,556987,DE,8.079183177
"New Castle County, DE",10003,2017,Homicide,47,559793,DE,8.39596065
"New Castle County, DE",10003,2018,Homicide,40,559335,DE,7.15134937
"New Castle County, DE",10003,2019,Homicide,41,558753,DE,7.337768209
"Hendry County, FL",12051,2011,Homicide,10,39089,FL,25.58264473
"Allegheny County, PA",42003,2009,Homicide,84,1222171,PA,6.873015315
"Allegheny County, PA",42003,2010,Homicide,102,1223348,PA,8.337774697
"Allegheny County, PA",42003,2011,Homicide,81,1227066,PA,6.601111921
"Allegheny County, PA",42003,2012,Homicide,94,1229338,PA,7.646391798
"Allegheny County, PA",42003,2013,Homicide,86,1231527,PA,6.983200531
"Allegheny County, PA",42003,2014,Homicide,108,1231255,PA,8.771537984
"Allegheny County, PA",42003,2015,Homicide,113,1230459,PA,9.183564832
"Allegheny County, PA",42003,2016,Homicide,106,1225365,PA,8.650483733
"Allegheny County, PA",42003,2017,Homicide,102,1223048,PA,8.33981986
"Allegheny County, PA",42003,2018,Homicide,104,1218452,PA,8.535420353
"Allegheny County, PA",42003,2019,Homicide,87,1216045,PA,7.154340505
"Orangeburg County, SC",45075,2010,Homicide,18,92501,SC,19.45924909
"Orangeburg County, SC",45075,2011,Homicide,11,91910,SC,11.96822979
"Orangeburg County, SC",45075,2012,Homicide,18,91476,SC,19.6772924
"Orangeburg County, SC",45075,2014,Homicide,15,90090,SC,16.65001665
